user_id,amount,user_country,device_id,recipient_account,hour_of_day,is_outside_active_hours,is_fraud
user_risky2,102.29,AU,hacked_device,acct_legit_375,21,1,0
user_nomad,837.03,FR,google_pixel_7,acct_legit_37,21,1,0
user_risky2,369.44,AU,hacked_device,acct_legit_775,21,1,0
user_highroller,24986.11,AE,hacked_device,acct_moneylaunder,21,1,1
user_risky2,278.28,AU,hacked_device,acct_fraudster2,21,1,1
user123,328.13,US,macbook_pro_2020,acct_legit_389,21,1,0
user789,175.56,GB,unknown_device,acct_legit_535,21,0,0
user_risky1,132.05,DE,hacked_device,acct_fraudster2,21,1,1
user123,434.21,US,macbook_pro_2020,acct_legit_299,21,1,0
user_nomad,579.29,FR,hacked_device,acct_hacker1,21,1,1
user_risky1,189.86,DE,burner_phone,acct_legit_501,21,1,0
user_nomad,808.68,FR,google_pixel_7,acct_legit_395,21,1,0
user_risky2,300.41,AU,hacked_device,acct_legit_771,21,1,0
user_risky2,128.78,AU,hacked_device,acct_legit_859,21,1,0
user123,550.93,US,iphone_12,acct_legit_113,21,1,0
user789,235.61,GB,unknown_device,acct_legit_761,21,0,0
user_nomad,586.93,FR,google_pixel_7,acct_legit_61,21,1,0
user_nomad,442.5,FR,google_pixel_7,acct_legit_972,21,1,0
user_risky2,488.45,AU,hacked_device,acct_legit_952,21,1,0
user_highroller,23426.97,AE,windows_pc,acct_legit_215,21,1,0
user_highroller,30109.29,AE,windows_pc,acct_legit_115,21,1,0
user_highroller,26533.93,AE,windows_pc,acct_legit_445,21,1,0
user123,852.18,US,macbook_pro_2020,acct_legit_792,21,1,0
user789,335.62,GB,unknown_device,acct_legit_175,21,0,0
user_highroller,41189.6,AE,iphone_14_pro,acct_legit_744,21,1,0
user456,1225.94,CA,samsung_galaxy_s21,acct_legit_925,21,1,0
user789,130.16,GB,hacked_device,acct_darkweb123,21,0,1
user_risky1,41.53,DE,burner_phone,acct_legit_385,21,1,0
user789,164.87,GB,hacked_device,acct_phishing_scam,21,0,1
user_nomad,845.31,FR,google_pixel_7,acct_legit_845,21,1,0
user_risky2,297.74,AU,hacked_device,acct_darkweb123,21,1,1
user123,267.18,US,macbook_pro_2020,acct_legit_46,21,1,0
user_risky2,92.57,AU,hacked_device,acct_legit_737,21,1,0
user123,503.67,US,iphone_12,acct_legit_419,21,1,0
user123,329.51,US,macbook_pro_2020,acct_legit_281,21,1,0
user_risky1,160.34,DE,burner_phone,acct_legit_307,21,1,0
user_risky1,159.53,DE,burner_phone,acct_legit_303,21,1,0
user_risky2,250.27,AU,hacked_device,acct_legit_702,21,1,0
user_risky2,234.57,AU,hacked_device,acct_legit_454,21,1,0
user123,453.32,US,macbook_pro_2020,acct_legit_894,21,1,0
user456,1287.17,CA,ipad_pro,acct_legit_610,21,1,0
user456,539.35,CA,samsung_galaxy_s21,acct_legit_706,21,1,0
user456,1299.9,CA,ipad_pro,acct_legit_355,21,1,0
user456,834.92,CA,ipad_pro,acct_legit_357,21,1,0
user789,60.55,GB,unknown_device,acct_legit_697,21,0,0
user_highroller,27051.7,AE,iphone_14_pro,acct_legit_525,21,1,0
user456,948.84,CA,ipad_pro,acct_legit_851,21,1,0
user_risky2,396.06,AU,hacked_device,acct_legit_816,21,1,0
user789,31.12,GB,unknown_device,acct_legit_772,21,0,0
user456,1163.39,CA,samsung_galaxy_s21,acct_legit_457,21,1,0
user_nomad,1104.07,FR,hacked_device,acct_fraudster2,21,1,1
user456,1189.88,CA,hacked_device,acct_ransomware,21,1,1
user456,1302.45,CA,ipad_pro,acct_legit_550,21,1,0
user456,1349.42,CA,ipad_pro,acct_legit_526,21,1,0
user_nomad,583.64,FR,google_pixel_7,acct_legit_875,21,1,0
user_highroller,32903.49,AE,windows_pc,acct_legit_859,21,1,0
user789,131.61,GB,unknown_device,acct_legit_427,21,0,0
user_nomad,778.29,FR,google_pixel_7,acct_legit_501,21,1,0
user_highroller,29782.78,AE,iphone_14_pro,acct_legit_193,21,1,0
user_nomad,866.75,FR,google_pixel_7,acct_legit_896,21,1,0
user456,1833.76,CA,ipad_pro,acct_legit_668,21,1,0
user_highroller,21912.32,AE,hacked_device,acct_moneylaunder,21,1,1
user_nomad,925.21,FR,google_pixel_7,acct_legit_526,21,1,0
user_highroller,25617.87,AE,iphone_14_pro,acct_legit_147,21,1,0
user789,273.32,GB,unknown_device,acct_legit_122,21,0,0
user456,597.2,CA,ipad_pro,acct_legit_623,21,1,0
user456,2077.47,CA,ipad_pro,acct_legit_503,21,1,0
user_risky1,159.14,DE,burner_phone,acct_legit_530,21,1,0
user789,159.19,GB,unknown_device,acct_legit_508,21,0,0
user_risky1,137.81,DE,burner_phone,acct_legit_78,21,1,0
user789,177.08,GB,unknown_device,acct_legit_314,21,0,0
user_risky1,207.23,DE,burner_phone,acct_legit_634,21,1,0
user_risky2,156.3,AU,hacked_device,acct_legit_500,21,1,0
user_risky2,279.89,AU,hacked_device,acct_legit_70,21,1,0
user_risky1,169.59,DE,hacked_device,acct_darkweb123,21,1,1
user_highroller,23388.61,AE,iphone_14_pro,acct_legit_566,21,1,0
user789,239.52,GB,unknown_device,acct_legit_897,21,0,0
user_risky2,492.44,AU,hacked_device,acct_legit_563,21,1,0
